step,w0,w1,f(w),g(w),corrupted,method
0,-2.0,3.0,10.0,-1.0,False,SGM_clean
1,-1.0999999,2.7,4.8999996,-0.39999986,False,SGM_clean
2,-0.4699999,2.49,2.4009995,0.01999998,False,SGM_clean
3,-0.6199999,2.34,2.7399995,-0.27999997,False,SGM_clean
4,-0.13399991,2.238,1.3425999,0.10400009,False,SGM_clean
5,-0.28399992,2.0879998,1.6563997,-0.1960001,False,SGM_clean
6,0.101200074,2.0616,0.8116358,0.16280007,False,SGM_clean
7,-0.048799932,1.9116,1.107796,-0.13719988,False,SGM_clean
8,0.26584008,1.93812,0.54282,0.20396018,False,SGM_clean
9,0.11584008,1.78812,0.8266319,-0.09603989,False,SGM_clean
10,0.38108808,1.851684,0.4050496,0.23277211,False,SGM_clean
11,0.23108807,1.701684,0.68021804,-0.06722796,False,SGM_clean
12,0.46176165,1.7911788,0.3333068,0.25294042,False,SGM_clean
13,0.31176165,1.6411788,0.6024247,-0.047059536,False,SGM_clean
14,0.5182332,1.7488252,0.29518804,0.26705837,False,SGM_clean
15,0.36823317,1.5988252,0.5600705,-0.03294158,False,SGM_clean
16,0.5577632,1.7191776,0.2744346,0.27694082,False,SGM_clean
17,0.4077632,1.5691776,0.5363523,-0.02305913,False,SGM_clean
18,0.58543426,1.6984243,0.2628126,0.28385854,False,SGM_clean
19,0.43543425,1.5484244,0.52265507,-0.016141415,False,SGM_clean
20,0.604804,1.683897,0.25610098,0.28870106,False,SGM_clean
21,0.45480397,1.533897,0.5144907,-0.011299014,False,SGM_clean
22,0.6183628,1.673728,0.25210038,0.2920909,False,SGM_clean
23,0.46836278,1.523728,0.5094731,-0.007909179,False,SGM_clean
24,0.62785393,1.6666096,0.24964184,0.29446363,False,SGM_clean
25,0.47785392,1.5166097,0.5063028,-0.005536437,False,SGM_clean
26,0.63449776,1.6616268,0.2480883,0.29612446,False,SGM_clean
27,0.48449776,1.5116268,0.5042509,-0.0038753748,False,SGM_clean
28,0.6391484,1.6581388,0.24708298,0.29728723,False,SGM_clean
29,0.4891484,1.5081388,0.50289685,-0.0027128458,False,SGM_clean
30,0.6424039,1.6556971,0.24641946,0.29810095,False,SGM_clean
31,0.4924039,1.5056971,0.5019891,-0.001899004,False,SGM_clean
32,0.64468277,1.653988,0.24597465,0.29867077,False,SGM_clean
33,0.49468276,1.503988,0.50137335,-0.0013291836,False,SGM_clean
34,0.6462779,1.6527916,0.24567297,0.2990694,False,SGM_clean
35,0.4962779,1.5027916,0.50095206,-0.0009304285,False,SGM_clean
36,0.64739454,1.6519542,0.2454665,0.29934883,False,SGM_clean
37,0.49739453,1.5019542,0.50066185,-0.00065124035,False,SGM_clean
38,0.6481762,1.6513679,0.24532433,0.2995441,False,SGM_clean
39,0.4981762,1.5013679,0.5004611,-0.00045585632,False,SGM_clean
40,0.64872336,1.6509576,0.24522588,0.29968095,False,SGM_clean
0,-2.0,3.0,10.0,-1.0,True,SGM_gross_corrupted
1,-2.433112,4.119113,16.276897,-0.31399894,True,SGM_gross_corrupted
2,-1.4031783,3.4833791,7.9756794,0.08020067,True,SGM_gross_corrupted
3,-2.3223915,2.7119863,11.54521,-1.6104052,True,SGM_gross_corrupted
4,-1.325674,2.4983904,5.6571527,-0.8272836,True,SGM_gross_corrupted
5,-2.20784,3.311891,12.011295,-0.8959489,True,SGM_gross_corrupted
6,-1.2454879,2.9183238,5.8855343,-0.32716417,True,SGM_gross_corrupted
7,-0.57184154,2.6428266,2.8839116,0.07098508,True,SGM_gross_corrupted
8,-0.065366864,3.7307067,4.130352,1.66534,True,SGM_gross_corrupted
9,0.16527037,2.5530791,1.00267,0.71834946,True,SGM_gross_corrupted
10,0.4690287,1.3921609,0.6513989,-0.1388104,True,SGM_gross_corrupted
11,1.668539,1.3578831,0.85925853,1.026422,True,SGM_gross_corrupted
12,1.5185391,1.2078831,0.8963319,0.7264223,True,SGM_gross_corrupted
13,1.3685391,1.0578831,1.0234052,0.42642212,True,SGM_gross_corrupted
14,0.19766581,1.3206676,1.1052327,-0.48166656,True,SGM_gross_corrupted
15,1.3373829,1.6962273,0.20610508,1.0336103,True,SGM_gross_corrupted
16,1.1873829,1.5462273,0.24102199,0.73361015,True,SGM_gross_corrupted
17,2.294113,2.010069,1.6748296,2.304182,True,SGM_gross_corrupted
18,2.1441128,1.8600689,1.3285749,2.0041819,True,SGM_gross_corrupted
19,1.9941128,1.710069,1.0723203,1.7041817,True,SGM_gross_corrupted
20,1.8441129,1.560069,0.9060659,1.404182,True,SGM_gross_corrupted
21,1.6941129,1.410069,0.82981133,1.1041818,True,SGM_gross_corrupted
