step,w0,w1,f(w),g(w),corrupted,method
0,-2.0,3.0,10.0,-1.0,False,SGM_clean
1,-1.0999999,2.7,4.8999996,-0.39999986,False,SGM_clean
2,-0.4699999,2.49,2.4009995,0.01999998,False,SGM_clean
3,-0.6199999,2.34,2.7399995,-0.27999997,False,SGM_clean
4,-0.13399991,2.238,1.3425999,0.10400009,False,SGM_clean
5,-0.28399992,2.0879998,1.6563997,-0.1960001,False,SGM_clean
6,0.101200074,2.0616,0.8116358,0.16280007,False,SGM_clean
7,-0.048799932,1.9116,1.107796,-0.13719988,False,SGM_clean
8,0.26584008,1.93812,0.54282,0.20396018,False,SGM_clean
9,0.11584008,1.78812,0.8266319,-0.09603989,False,SGM_clean
10,0.38108808,1.851684,0.4050496,0.23277211,False,SGM_clean
11,0.23108807,1.701684,0.68021804,-0.06722796,False,SGM_clean
12,0.46176165,1.7911788,0.3333068,0.25294042,False,SGM_clean
13,0.31176165,1.6411788,0.6024247,-0.047059536,False,SGM_clean
14,0.5182332,1.7488252,0.29518804,0.26705837,False,SGM_clean
15,0.36823317,1.5988252,0.5600705,-0.03294158,False,SGM_clean
16,0.5577632,1.7191776,0.2744346,0.27694082,False,SGM_clean
17,0.4077632,1.5691776,0.5363523,-0.02305913,False,SGM_clean
18,0.58543426,1.6984243,0.2628126,0.28385854,False,SGM_clean
19,0.43543425,1.5484244,0.52265507,-0.016141415,False,SGM_clean
20,0.604804,1.683897,0.25610098,0.28870106,False,SGM_clean
21,0.45480397,1.533897,0.5144907,-0.011299014,False,SGM_clean
22,0.6183628,1.673728,0.25210038,0.2920909,False,SGM_clean
23,0.46836278,1.523728,0.5094731,-0.007909179,False,SGM_clean
24,0.62785393,1.6666096,0.24964184,0.29446363,False,SGM_clean
25,0.47785392,1.5166097,0.5063028,-0.005536437,False,SGM_clean
26,0.63449776,1.6616268,0.2480883,0.29612446,False,SGM_clean
27,0.48449776,1.5116268,0.5042509,-0.0038753748,False,SGM_clean
28,0.6391484,1.6581388,0.24708298,0.29728723,False,SGM_clean
29,0.4891484,1.5081388,0.50289685,-0.0027128458,False,SGM_clean
30,0.6424039,1.6556971,0.24641946,0.29810095,False,SGM_clean
31,0.4924039,1.5056971,0.5019891,-0.001899004,False,SGM_clean
32,0.64468277,1.653988,0.24597465,0.29867077,False,SGM_clean
33,0.49468276,1.503988,0.50137335,-0.0013291836,False,SGM_clean
34,0.6462779,1.6527916,0.24567297,0.2990694,False,SGM_clean
35,0.4962779,1.5027916,0.50095206,-0.0009304285,False,SGM_clean
36,0.64739454,1.6519542,0.2454665,0.29934883,False,SGM_clean
37,0.49739453,1.5019542,0.50066185,-0.00065124035,False,SGM_clean
38,0.6481762,1.6513679,0.24532433,0.2995441,False,SGM_clean
39,0.4981762,1.5013679,0.5004611,-0.00045585632,False,SGM_clean
40,0.64872336,1.6509576,0.24522588,0.29968095,False,SGM_clean
0,-2.0,3.0,10.0,-1.0,True,SGM_gross_corrupted
1,-1.0999999,2.7,4.8999996,-0.39999986,True,SGM_gross_corrupted
2,-0.6137681,3.7970774,5.8337345,1.1833093,True,SGM_gross_corrupted
3,-0.2504037,2.6534138,1.9904587,0.40301013,True,SGM_gross_corrupted
4,-0.4004037,2.5034137,2.214556,0.10300994,True,SGM_gross_corrupted
5,0.21842912,3.531541,2.9564714,1.7499702,True,SGM_gross_corrupted
6,0.06842911,3.381541,2.7764797,1.4499702,True,SGM_gross_corrupted
7,1.2586017,3.2282786,1.5755433,2.4868803,True,SGM_gross_corrupted
8,1.1086017,3.0782785,1.1744789,2.18688,True,SGM_gross_corrupted
9,0.9586017,2.9282784,0.8634147,1.8868802,True,SGM_gross_corrupted
10,0.80860174,2.7782784,0.6423505,1.5868802,True,SGM_gross_corrupted
11,0.24170369,1.7206268,0.65306264,-0.03766942,True,SGM_gross_corrupted
12,0.4691926,1.8044388,0.32000065,0.27363133,True,SGM_gross_corrupted
13,0.3191926,1.6544389,0.58291125,-0.026368618,True,SGM_gross_corrupted
14,0.5234348,1.7581072,0.2856265,0.28154206,True,SGM_gross_corrupted
15,1.7106605,1.9327375,0.5095625,1.6433978,True,SGM_gross_corrupted
16,0.5625224,2.2817063,0.2707451,0.84422874,True,SGM_gross_corrupted
17,0.4125224,2.1317062,0.3624764,0.54422855,True,SGM_gross_corrupted
18,0.2625224,1.9817063,0.5442079,0.2442286,True,SGM_gross_corrupted
19,1.4403942,2.211093,0.23850724,1.6514871,True,SGM_gross_corrupted
20,1.2903942,2.0610929,0.088061124,1.3514872,True,SGM_gross_corrupted
21,1.1403942,1.9110929,0.02761501,1.051487,True,SGM_gross_corrupted
