step,w0,w1,f(w),g(w),corrupted,method
0,-2.0,3.0,10.0,-1.0,False,SGM_clean
1,-1.0999999,2.7,4.8999996,-0.39999986,False,SGM_clean
2,-0.4699999,2.49,2.4009995,0.01999998,False,SGM_clean
3,-0.6199999,2.34,2.7399995,-0.27999997,False,SGM_clean
4,-0.13399991,2.238,1.3425999,0.10400009,False,SGM_clean
5,-0.28399992,2.0879998,1.6563997,-0.1960001,False,SGM_clean
6,0.101200074,2.0616,0.8116358,0.16280007,False,SGM_clean
7,-0.048799932,1.9116,1.107796,-0.13719988,False,SGM_clean
8,0.26584008,1.93812,0.54282,0.20396018,False,SGM_clean
9,0.11584008,1.78812,0.8266319,-0.09603989,False,SGM_clean
10,0.38108808,1.851684,0.4050496,0.23277211,False,SGM_clean
11,0.23108807,1.701684,0.68021804,-0.06722796,False,SGM_clean
12,0.46176165,1.7911788,0.3333068,0.25294042,False,SGM_clean
13,0.31176165,1.6411788,0.6024247,-0.047059536,False,SGM_clean
14,0.5182332,1.7488252,0.29518804,0.26705837,False,SGM_clean
15,0.36823317,1.5988252,0.5600705,-0.03294158,False,SGM_clean
16,0.5577632,1.7191776,0.2744346,0.27694082,False,SGM_clean
17,0.4077632,1.5691776,0.5363523,-0.02305913,False,SGM_clean
18,0.58543426,1.6984243,0.2628126,0.28385854,False,SGM_clean
19,0.43543425,1.5484244,0.52265507,-0.016141415,False,SGM_clean
20,0.604804,1.683897,0.25610098,0.28870106,False,SGM_clean
21,0.45480397,1.533897,0.5144907,-0.011299014,False,SGM_clean
22,0.6183628,1.673728,0.25210038,0.2920909,False,SGM_clean
23,0.46836278,1.523728,0.5094731,-0.007909179,False,SGM_clean
24,0.62785393,1.6666096,0.24964184,0.29446363,False,SGM_clean
25,0.47785392,1.5166097,0.5063028,-0.005536437,False,SGM_clean
26,0.63449776,1.6616268,0.2480883,0.29612446,False,SGM_clean
27,0.48449776,1.5116268,0.5042509,-0.0038753748,False,SGM_clean
28,0.6391484,1.6581388,0.24708298,0.29728723,False,SGM_clean
29,0.4891484,1.5081388,0.50289685,-0.0027128458,False,SGM_clean
30,0.6424039,1.6556971,0.24641946,0.29810095,False,SGM_clean
31,0.4924039,1.5056971,0.5019891,-0.001899004,False,SGM_clean
32,0.64468277,1.653988,0.24597465,0.29867077,False,SGM_clean
33,0.49468276,1.503988,0.50137335,-0.0013291836,False,SGM_clean
34,0.6462779,1.6527916,0.24567297,0.2990694,False,SGM_clean
35,0.4962779,1.5027916,0.50095206,-0.0009304285,False,SGM_clean
36,0.64739454,1.6519542,0.2454665,0.29934883,False,SGM_clean
37,0.49739453,1.5019542,0.50066185,-0.00065124035,False,SGM_clean
38,0.6481762,1.6513679,0.24532433,0.2995441,False,SGM_clean
39,0.4981762,1.5013679,0.5004611,-0.00045585632,False,SGM_clean
40,0.64872336,1.6509576,0.24522588,0.29968095,False,SGM_clean
0,-2.0,3.0,10.0,-1.0,True,SGM_corrupted
1,-1.0999999,2.7,4.8999996,-0.39999986,True,SGM_corrupted
2,-1.6968735,1.8041928,7.311468,-1.8926808,True,SGM_corrupted
3,1.2794682,2.3868225,0.22773409,1.6662908,True,SGM_corrupted
4,1.1294682,2.2368224,0.07284685,1.3662906,True,SGM_corrupted
5,1.6664536,2.5769742,0.77705956,2.2434278,True,SGM_corrupted
6,2.138404,0.89004016,2.5279741,1.028444,True,SGM_corrupted
7,2.4745483,1.166821,2.86848,1.6413693,True,SGM_corrupted
8,2.8282387,1.2674371,3.879105,2.095676,True,SGM_corrupted
9,1.5326047,1.6714926,0.3915849,1.2040973,True,SGM_corrupted
10,1.3826047,1.5214926,0.37535572,0.9040973,True,SGM_corrupted
11,1.5260191,1.0330765,1.211637,0.5590956,True,SGM_corrupted
12,1.3760191,0.88307655,1.3889084,0.25909567,True,SGM_corrupted
13,1.0243964,0.49463633,2.266715,-0.48096728,True,SGM_corrupted
14,1.0170774,0.94624543,1.1106902,-0.036677122,True,SGM_corrupted
15,1.0119542,1.2623718,0.5442383,0.27432585,True,SGM_corrupted
16,0.8619542,1.1123718,0.80694044,-0.025673985,True,SGM_corrupted
17,0.90336794,1.3786602,0.3954009,0.2820282,True,SGM_corrupted
18,0.7533679,1.2286602,0.6557924,-0.017971873,True,SGM_corrupted
19,0.82735753,1.4600621,0.3213383,0.2874198,True,SGM_corrupted
20,1.2367464,-0.42892718,5.955736,-1.1921808,True,SGM_corrupted
21,1.1657225,0.29975098,2.9183104,-0.5345266,True,SGM_corrupted
22,1.1160058,0.8098257,1.4299723,-0.07416844,True,SGM_corrupted
23,1.081204,1.166878,0.7006864,0.24808216,True,SGM_corrupted
