iteration,corruption_level,objective
0,0.0,0.27039978
1,0.0,0.2556903
2,0.0,0.120155714
3,0.0,0.07233468
4,0.0,0.06366475
5,0.0,0.03969135
6,0.0,0.026368875
7,0.0,0.009473234
8,0.0,0.007625224
9,0.0,0.0048889015
10,0.0,0.0040122485
11,0.0,0.0030704145
12,0.0,0.0028173015
13,0.0,0.0015517474
14,0.0,0.0018528722
15,0.0,0.0019749135
16,0.0,0.001726421
17,0.0,0.00129045
18,0.0,0.0016062004
19,0.0,0.0013299453
20,0.0,0.0012737878
21,0.0,0.0015797489
22,0.0,0.0012327703
23,0.0,0.0013267898
24,0.0,0.001430249
25,0.0,0.0013947224
26,0.0,0.03405801
27,0.0,0.024174996
28,0.0,0.020650437
29,0.0,0.011249433
30,0.0,0.0066057043
31,0.0,0.0057413387
32,0.0,0.0047815554
33,0.0,0.003061141
34,0.0,0.0026989002
35,0.0,0.002787372
36,0.0,0.0019447398
37,0.0,0.001268182
38,0.0,0.0012658852
39,0.0,0.0017280886
40,0.0,0.0013708354
41,0.0,0.0011500656
42,0.0,0.0017259134
43,0.0,0.0013428694
44,0.0,0.0013154646
45,0.0,0.0013841328
46,0.0,0.0012284264
47,0.0,0.0012882381
48,0.0,0.00097263005
49,0.0,0.03659936
50,0.0,0.028255379
51,0.0,0.018739514
52,0.0,0.008788625
53,0.0,0.0068809977
54,0.0,0.0041334834
55,0.0,0.0033397651
56,0.0,0.0031036052
57,0.0,0.0024406672
58,0.0,0.002215179
59,0.0,0.0018732839
60,0.0,0.0015321964
61,0.0,0.0014690754
62,0.0,0.0014883362
63,0.0,0.001047095
64,0.0,0.0009972866
65,0.0,0.0013733045
66,0.0,0.035823423
67,0.0,0.02860494
68,0.0,0.01698908
69,0.0,0.009566283
70,0.0,0.0072958656
71,0.0,0.0052827215
72,0.0,0.003819292
73,0.0,0.0028007324
74,0.0,0.002477855
75,0.0,0.0017840291
76,0.0,0.0019407637
77,0.0,0.0017418725
78,0.0,0.0015921069
79,0.0,0.0013260694
80,0.0,0.0013773064
81,0.0,0.0014600946
82,0.0,0.0012354441
83,0.0,0.001114617
84,0.0,0.0016462624
85,0.0,0.041284293
86,0.0,0.026581638
87,0.0,0.015319628
88,0.0,0.012605086
89,0.0,0.0100756325
90,0.0,0.0068470933
91,0.0,0.0038157573
92,0.0,0.0025958158
93,0.0,0.0017490633
94,0.0,0.0021598148
95,0.0,0.0013852142
96,0.0,0.0016593867
97,0.0,0.0013305966
98,0.0,0.0016405205
99,0.0,0.0013342081
100,0.0,0.0010798603
101,0.0,0.0014733777
102,0.0,0.0010318153
103,0.0,0.0014032475
104,0.0,0.0016625498
105,0.0,0.0014817854
106,0.0,0.0013050542
107,0.0,0.0010942029
108,0.0,0.0014053207
109,0.0,0.0008980181
110,0.0,0.0007922416
111,0.0,0.0014859865
112,0.0,0.0016250858
113,0.0,0.05764625
114,0.0,0.02653986
115,0.0,0.013930719
116,0.0,0.01435622
117,0.0,0.008517662
118,0.0,0.007254977
119,0.0,0.0033959022
0,0.1,0.2637809
1,0.1,0.14763626
2,0.1,0.13917708
3,0.1,0.07011251
4,0.1,0.055747233
5,0.1,0.043744497
6,0.1,0.030437836
7,0.1,0.0122958245
8,0.1,0.005343982
9,0.1,0.0028946744
10,0.1,0.0027151583
11,0.1,0.0018603394
12,0.1,0.0024513411
13,0.1,0.029492144
14,0.1,0.014531235
15,0.1,0.012172425
16,0.1,0.0055919057
17,0.1,0.0052788993
18,0.1,0.0027443839
19,0.1,0.034791462
20,0.1,0.015624359
21,0.1,0.0039492967
22,0.1,0.0019286319
23,0.1,0.0013712749
24,0.1,0.0016534025
25,0.1,0.0015698508
26,0.1,0.04835925
27,0.1,0.024443258
28,0.1,0.02211962
29,0.1,0.020237027
30,0.1,0.030505253
31,0.1,0.010878935
32,0.1,0.0068213874
33,0.1,0.0050832294
34,0.1,0.0040105972
35,0.1,0.0043267645
36,0.1,0.003318843
37,0.1,0.005619672
38,0.1,0.009082669
39,0.1,0.0031299265
40,0.1,0.002439464
41,0.1,0.007943023
42,0.1,0.008846149
43,0.1,0.004113214
44,0.1,0.0032307785
45,0.1,0.0025296723
46,0.1,0.024126975
47,0.1,0.032470383
48,0.1,0.021520223
49,0.1,0.014971658
50,0.1,0.010602345
51,0.1,0.009517497
52,0.1,0.007028759
53,0.1,0.004279976
54,0.1,0.00420679
55,0.1,0.003965632
56,0.1,0.006772196
57,0.1,0.005476796
58,0.1,0.025891554
59,0.1,0.011801656
60,0.1,0.0036851054
61,0.1,0.0044650305
62,0.1,0.0011870179
63,0.1,0.043104626
64,0.1,0.021269467
65,0.1,0.014637866
66,0.1,0.014609877
67,0.1,0.028248202
68,0.1,0.0072157765
