step,w0,w1,f(w),g(w),corrupted
0,-2.0,3.0,10.0,-1.0,False
1,-1.0999999,2.7,4.8999996,-0.39999986,False
2,-0.4699999,2.49,2.4009995,0.01999998,False
3,-0.6199999,2.34,2.7399995,-0.27999997,False
4,-0.13399991,2.238,1.3425999,0.10400009,False
5,-0.28399992,2.0879998,1.6563997,-0.1960001,False
6,0.101200074,2.0616,0.8116358,0.16280007,False
7,-0.048799932,1.9116,1.107796,-0.13719988,False
8,0.26584008,1.93812,0.54282,0.20396018,False
9,0.11584008,1.78812,0.8266319,-0.09603989,False
10,0.38108808,1.851684,0.4050496,0.23277211,False
11,0.23108807,1.701684,0.68021804,-0.06722796,False
12,0.46176165,1.7911788,0.3333068,0.25294042,False
13,0.31176165,1.6411788,0.6024247,-0.047059536,False
14,0.5182332,1.7488252,0.29518804,0.26705837,False
15,0.36823317,1.5988252,0.5600705,-0.03294158,False
16,0.5577632,1.7191776,0.2744346,0.27694082,False
17,0.4077632,1.5691776,0.5363523,-0.02305913,False
18,0.58543426,1.6984243,0.2628126,0.28385854,False
19,0.43543425,1.5484244,0.52265507,-0.016141415,False
20,0.604804,1.683897,0.25610098,0.28870106,False
21,0.45480397,1.533897,0.5144907,-0.011299014,False
22,0.6183628,1.673728,0.25210038,0.2920909,False
23,0.46836278,1.523728,0.5094731,-0.007909179,False
24,0.62785393,1.6666096,0.24964184,0.29446363,False
25,0.47785392,1.5166097,0.5063028,-0.005536437,False
26,0.63449776,1.6616268,0.2480883,0.29612446,False
27,0.48449776,1.5116268,0.5042509,-0.0038753748,False
28,0.6391484,1.6581388,0.24708298,0.29728723,False
29,0.4891484,1.5081388,0.50289685,-0.0027128458,False
30,0.6424039,1.6556971,0.24641946,0.29810095,False
31,0.4924039,1.5056971,0.5019891,-0.001899004,False
32,0.64468277,1.653988,0.24597465,0.29867077,False
33,0.49468276,1.503988,0.50137335,-0.0013291836,False
34,0.6462779,1.6527916,0.24567297,0.2990694,False
35,0.4962779,1.5027916,0.50095206,-0.0009304285,False
36,0.64739454,1.6519542,0.2454665,0.29934883,False
37,0.49739453,1.5019542,0.50066185,-0.00065124035,False
38,0.6481762,1.6513679,0.24532433,0.2995441,False
39,0.4981762,1.5013679,0.5004611,-0.00045585632,False
40,0.64872336,1.6509576,0.24522588,0.29968095,False
0,-2.0,3.0,10.0,-1.0,True
1,-3.3756104,2.3859916,19.294954,-2.9896188,True
2,-2.0629272,2.270194,9.454528,-1.7927332,True
3,-1.4299847,2.1080067,5.9164906,-1.321978,True
4,-0.7009893,2.0756047,2.8990805,-0.62538457,True
5,-0.19069248,2.0529232,1.4205493,-0.13776922,True
6,0.16651526,2.0370462,0.69606924,0.20356154,True
7,-1.6283544,0.43682075,9.351777,-3.1915336,True
8,-0.83984804,0.90577453,4.58237,-1.9340734,True
9,1.0523793,1.2670853,0.5399075,0.31946468,True
10,0.9023793,1.1170853,0.7890681,0.019464493,True
11,-1.2490497,1.3156818,5.5265155,-1.9333678,True
12,-0.57433474,1.5209773,2.7079928,-1.0533575,True
13,-0.1020343,1.664684,1.3269165,-0.43735027,True
14,0.05338651,2.9689329,1.834908,1.0223193,True
15,-0.0966135,2.8189328,1.8732121,0.72231936,True
16,-0.6256169,1.0221175,3.5988846,-1.6034994,True
17,-0.13793182,1.3154823,1.7634534,-0.82244956,True
18,0.20344773,1.5208375,0.86409223,-0.27571476,True
19,0.3455258,2.301711,0.519366,0.6472368,True
20,-0.5904058,2.094213,2.5382667,-0.4961928,True
21,-0.11328405,2.0659492,1.2437508,-0.04733491,True
22,-0.19319507,3.9519548,5.2338424,1.7587597,True
23,0.82361484,4.27734,5.217389,3.100955,True
24,0.67361486,4.12734,4.632102,2.8009548,True
25,0.5236149,3.9773397,4.136815,2.5009546,True
26,0.37361488,3.8273396,3.7315285,2.2009544,True
27,-0.25353345,3.994753,5.550385,1.7412195,True
28,-0.40353346,3.8447528,5.373019,1.4412193,True
29,0.15701008,4.7664337,8.363788,2.9234438,True
30,0.0070100725,4.6164336,7.8317537,2.6234436,True
31,-0.2976178,5.481799,13.806737,3.1841812,True
32,-0.4476178,5.331799,13.196482,2.884181,True
33,0.79492116,5.7583284,14.167089,4.5532494,True
34,1.171228,5.607292,13.041876,4.77852,True
35,0.69744,5.4154487,11.756832,4.112889,True
36,0.54744005,5.2654486,10.867965,3.8128886,True
37,0.39744005,5.1154485,10.0690975,3.5128884,True
38,-1.4497241,4.27883,11.194216,0.82910585,True
39,-1.599724,4.12883,11.290482,0.5291059,True
40,-1.749724,3.9788299,11.476749,0.22910595,True
